cell_specimen_id,cre_line,omitted,exposure_level,AUC,PeakAmplitude,LatencyToPeak,TroughAmplitude,LatencyToTrough,PeakToTrough,Slope_0_200ms,FWHM,Energy,Mean_0_500ms,Mean_500_1000ms,Skewness,Kurtosis,ZeroCrossings,RiseTime_10to90,DecayTime_Half
1086489847,Vip-IRES-Cre,False,familiar,0.0011558609128837032,0.0066110124551967625,0.3146067415730336,-0.003816079618018232,1.0224719101123596,0.010427092073214995,-0.003302949775515343,0.842696629213483,0.0005116069211291053,0.0032532369294975766,0.0018788757620690323,0.5298771362870551,-0.2195103820167481,20,1.3146067415730336,0.16853932584269682
1086489847,Vip-IRES-Cre,False,novel,0.0181609180276609,0.02758888487882397,0.5842696629213482,-0.006883946681427151,0.0786516853932584,0.03447283156025112,0.04682711874271065,0.9775280898876406,0.01029420997811295,0.010388277245409009,0.014588703504571037,0.7773508654655377,-0.457897908195255,11,1.449438202247191,0.202247191011236
1086489847,Vip-IRES-Cre,True,familiar,0.008858352806766844,0.011793792773149545,0.8202247191011236,-0.00554606180827434,-0.2247191011235955,0.017339854581423886,-0.01761347802394234,0.9101123595505618,0.002139797296422471,0.00019440611780274832,0.00826613470959695,0.41657270623204934,-0.40722872190165793,9,1.7191011235955056,0.2359550561797752
1086489847,Vip-IRES-Cre,True,novel,0.0025758620369674334,0.015562208525475284,1.0561797752808988,-0.006281091869075156,0.2808988764044944,0.02184330039455044,-0.009212568825937358,1.5842696629213484,0.002280946707396378,-0.003856067615593183,-3.3821781747186394e-05,1.0201899325266766,0.46999241648468315,9,2.056179775280899,0.303370786516854
1086489860,Vip-IRES-Cre,False,familiar,0.00028248316992192537,0.008663440226449303,-0.7303370786516854,-0.011890018577467876,1.2584269662921348,0.02055345880391718,-0.022772561467927412,1.4831460674157302,0.0012586396287007995,0.0026774341410511792,0.0030042162768258436,-0.16238488417763333,0.5663226433256603,14,0.2696629213483146,0.101123595505618
1086489860,Vip-IRES-Cre,False,novel,0.01227657332802024,0.03254264154537268,0.348314606741573,-0.0065857367242101094,1.49438202247191,0.03912837826958279,0.17821651073304445,0.8426966292134832,0.010653678698136392,0.017492862592045213,0.007835842503548037,1.005827172849398,0.15922077767412102,13,1.3146067415730336,0.1348314606741574
1086489860,Vip-IRES-Cre,True,familiar,0.012636334863784751,0.019129931790152092,0.651685393258427,-0.008691309970310342,-0.2247191011235955,0.027821241760462433,0.014778972952268609,0.7752808988764044,0.004138718314125897,0.003353595937393288,0.011923633396948408,0.658725450019521,0.6283048904213424,14,1.550561797752809,0.20224719101123578
1086489860,Vip-IRES-Cre,True,novel,-0.01234800727079146,0.010093606703799468,-0.3595505617977528,-0.016930584165295897,0.5168539325842696,0.027024190869095365,-0.013362001657265907,1.550561797752809,0.005191451438443573,-0.009661751411705229,-0.007180633565496638,0.40715121623950756,-0.27079821599668197,7,0.5056179775280899,0.0337078651685393
1086489882,Vip-IRES-Cre,False,novel,0.004556105141339551,0.037861084104580396,0.3146067415730336,-0.022973807439352782,1.4606741573033708,0.06083489154393318,0.26272152755044575,0.9101123595505616,0.02303795051106374,0.01958715500828653,0.002113880062310609,0.45138445781419745,-0.7952397071772119,9,1.247191011235955,0.16853932584269682
1086489882,Vip-IRES-Cre,True,novel,-0.019419135391197436,0.03400754114288051,1.0561797752808988,-0.03647381146852274,0.5168539325842696,0.07048135261140326,-0.0387085787443149,1.5842696629213482,0.0318685884331658,-0.023530357057653797,-0.018899202486507984,0.3674416993998016,-0.6370119974468333,5,2.0224719101123596,0.16853932584269682
1086489891,Vip-IRES-Cre,False,familiar,-0.007783670291685853,0.007853862900129493,0.4157303370786516,-0.014758451348058704,1.2584269662921348,0.022612314248188197,0.025565765428955434,1.2134831460674156,0.002796146116958722,0.0014893452476892736,-0.0035585851764707538,-0.5396328849383771,-0.15079827005743773,16,1.4157303370786516,0.03370786516853941
1086489891,Vip-IRES-Cre,False,novel,0.018761033966393503,0.04288024442672731,0.4157303370786516,-0.00804114316115925,-0.8651685393258427,0.05092138758788656,0.14472488089265365,0.910112359550562,0.017543872041790077,0.022014276029303885,0.012222055780173323,1.167723535183132,0.5850885608441652,7,1.3146067415730336,0.1348314606741574
1086489891,Vip-IRES-Cre,True,familiar,0.03749849014697673,0.05136468201969611,0.8202247191011236,-0.008242570658693195,0.011235955056179803,0.0596072526783893,0.04666846376836938,0.6404494382022472,0.03398848960681865,0.00558730973880207,0.038341796246137295,0.8692455613645184,-0.1756979921272812,8,1.7865168539325842,0.3707865168539324
1086489891,Vip-IRES-Cre,True,novel,-0.0076849635417135095,0.02603727557897322,1.1235955056179776,-0.019724112870722912,0.5168539325842696,0.04576138844969613,-0.027131412792822072,1.5505617977528088,0.008981425171890598,-0.011562812121732593,-0.006843409950773664,0.8933175945513576,0.3009374433672063,7,2.1235955056179776,0.101123595505618
1086489901,Vip-IRES-Cre,False,familiar,0.0007109317579696173,0.007976476901376102,0.1123595505617978,-0.008367880121104527,1.393258426966292,0.01634435702248063,-0.00026898325481729854,1.5842696629213484,0.0007973953946868947,0.0021177499456552368,0.0018725389904307272,0.07043968993847109,0.3829461734631576,29,1.1123595505617978,0.0674157303370786
1086489901,Vip-IRES-Cre,True,familiar,0.009385538325744246,0.0160642807399039,0.8202247191011236,-0.006886723440695741,-0.898876404494382,0.02295100418059964,0.017634705150239592,0.9101123595505618,0.003042807086488635,0.005582294278171139,0.01039102965892939,0.5332947810448284,-0.4067404006564743,12,1.7528089887640448,0.202247191011236
