cell_specimen_id,cre_line,omitted,exposure_level,mean_trace,mouse_id
1086489847,Vip-IRES-Cre,False,familiar,"[-6.02026275e-05 -3.11121364e-04 -2.59943440e-03 -2.20682935e-03
 -6.87014090e-04  7.10043514e-04  7.83535475e-04  7.78230358e-04
  2.78988320e-03  9.90421077e-04  1.97586214e-03 -4.06297451e-04
 -1.97197456e-03 -4.16029266e-04  2.56117303e-04 -5.73042325e-04
 -1.33988162e-03 -5.47084656e-04 -1.07272123e-03 -3.07579246e-03
 -5.96653827e-04  1.77579593e-03  9.12053924e-04  9.65204767e-04
  1.13889799e-04  5.29741061e-04 -6.42261894e-05 -7.64649929e-04
  1.30899294e-03  2.80318386e-03  3.99726583e-03  2.59943486e-03
 -2.79174848e-04  1.06388766e-03  3.13850160e-03  2.62586558e-03
  3.77944188e-03  7.08886788e-04  2.31459697e-03  6.61101246e-03
  5.64261876e-03  6.54873362e-03  6.09981016e-03  3.41965982e-03
  5.28012805e-04  2.07421762e-03  4.93008642e-04  3.78541133e-03
  1.45197716e-03  1.76449378e-03  3.59085247e-03  6.67391447e-04
  2.22492173e-03  2.86704966e-03  3.36754422e-03  3.54981792e-03
  2.38672067e-03  1.59788087e-03  1.61905152e-03 -3.25720259e-03
 -3.81607962e-03  2.58371437e-04 -1.79910344e-03 -2.88776383e-03
  3.69372369e-04 -2.31132491e-03 -3.66228479e-04  2.71588499e-03
 -1.18119288e-03  6.78413385e-04 -2.07668544e-03 -2.61547683e-04
  1.27167897e-04  2.04374392e-03 -2.20602381e-03 -2.20602381e-03
 -2.20602381e-03 -2.20602381e-03 -2.20602381e-03 -2.20602381e-03
 -2.20602381e-03 -2.20602381e-03 -2.20602381e-03 -2.20602381e-03
 -2.20602381e-03 -2.20602381e-03 -2.20602381e-03 -2.20602381e-03
 -2.20602381e-03 -2.20602381e-03]",486737
1086489847,Vip-IRES-Cre,False,novel,"[ 2.08848464e-03  2.51276220e-03  6.04063603e-03  3.56148180e-03
  2.91257869e-03  2.97284162e-03 -2.09746108e-05 -2.25470159e-04
 -3.74182773e-04 -2.95347879e-03 -6.13456474e-03 -3.92343539e-03
  1.05311641e-03  1.71616477e-03  3.04420283e-03  2.32202488e-03
  6.23525561e-04  1.05920810e-04 -1.47963700e-05  1.37879818e-04
 -1.18340892e-04 -3.50891621e-03  1.52079878e-03 -1.52014409e-03
 -5.30962036e-03  2.37717825e-03 -1.99932368e-04 -3.44641341e-03
 -3.85107913e-03 -1.38824781e-03 -2.85040578e-03 -5.89369710e-03
 -6.88394668e-03 -6.29978540e-03 -1.53812960e-03  5.46851690e-03
  1.00006386e-02  1.56079164e-02  1.93844057e-02  1.68245091e-02
  1.86573241e-02  2.16737053e-02  2.07917499e-02  2.69066844e-02
  2.39746728e-02  2.18869080e-02  2.75102494e-02  2.75888849e-02
  2.06671182e-02  2.30359175e-02  1.79221264e-02  1.75239631e-02
  1.42502660e-02  8.00628557e-03  5.70777075e-03  4.18640386e-03
  4.40703295e-03  5.44465738e-03  9.62695489e-03  1.10660137e-02
  1.23865742e-02  1.04171239e-02  1.54638003e-02  1.35035522e-02
  1.45314300e-02  1.32850830e-02  1.78026035e-02  1.21919442e-02
  1.36771252e-02  1.05272664e-02  1.33298077e-02  6.59821338e-03
  8.08084788e-03  7.49623848e-03 -2.68615117e-04 -2.68615117e-04
 -2.68615117e-04 -2.68615117e-04 -2.68615117e-04 -2.68615117e-04
 -2.68615117e-04 -2.68615117e-04 -2.68615117e-04 -2.68615117e-04
 -2.68615117e-04 -2.68615117e-04 -2.68615117e-04 -2.68615117e-04
 -2.68615117e-04 -2.68615117e-04]",486737
1086489847,Vip-IRES-Cre,True,familiar,"[-9.40227360e-04 -7.07825895e-04  1.33677318e-03  7.02560787e-04
  4.09184958e-04  5.25365575e-04  1.17501188e-03  1.16924010e-03
 -3.54459956e-04  2.33130554e-03  2.33602813e-03  1.90477805e-04
  1.46125701e-03  2.09016514e-03  1.38256697e-03  1.90057012e-03
  8.40342443e-04  2.30299941e-03  1.74514367e-03 -6.64394541e-04
 -3.84701274e-04 -1.13545874e-03 -3.22113299e-03 -5.54606181e-03
 -3.00361217e-03 -2.67458406e-03 -2.91684613e-03 -5.54528013e-04
  1.54790037e-04  5.00501857e-05 -1.72108227e-04 -6.27292398e-04
 -1.35940377e-03 -2.58601131e-03 -3.97704384e-03 -2.07292505e-03
 -8.19370956e-05 -1.88215319e-03  1.11010278e-04  1.76295444e-03
  4.77791198e-04 -1.43818017e-03  7.85797746e-04  6.12003668e-03
  7.85555647e-03  5.04951402e-03  4.94461640e-03  5.49422883e-03
  6.08920606e-03  7.99643724e-03  8.49792380e-03  1.03549295e-02
  9.02625176e-03  1.11307578e-02  1.17937928e-02  1.12152608e-02
  1.11776372e-02  6.78473862e-03  6.26130470e-03  8.17542118e-03
  9.23227956e-03  4.94962229e-03  6.07887344e-03  6.34494742e-03
  9.05875657e-03  6.96276961e-03  9.95329273e-03  3.18674439e-03
  3.06627936e-03  1.00141216e-02  6.54096794e-03  4.57957491e-03
  3.74851959e-03  5.62124016e-03  2.97175596e-03  2.97175596e-03
  2.97175596e-03  2.97175596e-03  2.97175596e-03  2.97175596e-03
  2.97175596e-03  2.97175596e-03  2.97175596e-03  2.97175596e-03
  2.97175596e-03  2.97175596e-03  2.97175596e-03  2.97175596e-03
  2.97175596e-03  2.97175596e-03]",486737
1086489847,Vip-IRES-Cre,True,novel,"[-3.29225404e-03 -3.13317094e-03 -1.11213652e-03  2.37634156e-03
  2.33627156e-03  1.53408899e-03  1.24640923e-03 -1.65557042e-03
 -9.99930658e-04 -5.35743481e-03 -5.83117631e-03 -4.00857002e-03
 -2.88579761e-03 -1.97763980e-03 -8.69645419e-04  6.78710384e-05
  4.23788726e-03  6.13429307e-04 -7.42015585e-04  3.23997125e-03
  4.42666886e-03  5.90479863e-03  9.45807294e-03  4.83205278e-03
  1.01500610e-03  1.77758178e-03 -1.06968475e-03 -2.25184480e-03
 -4.05158508e-03 -3.82799451e-03 -1.95334387e-03 -4.76197086e-03
 -1.79880381e-03 -3.92607854e-03 -4.89740149e-03 -3.62038274e-03
 -3.80785414e-03 -3.16166146e-03 -6.28109187e-03 -5.00450185e-03
 -3.85764350e-03 -3.72426351e-03 -5.12181924e-03 -2.28811062e-03
 -3.63608675e-03 -2.98087165e-03 -5.59118954e-03 -2.31557418e-03
 -5.64651788e-03 -1.02024661e-03 -3.46925597e-03 -2.66774557e-03
 -2.03296993e-03  1.76058061e-03 -6.08016945e-04 -5.98546246e-04
  2.27910964e-03  4.51093106e-03  8.79610344e-03  9.07688304e-03
  1.12200575e-02  1.55622085e-02  1.16203942e-02  1.14800315e-02
  1.49502506e-02  1.08670078e-02  7.86714954e-03  1.05654279e-02
  7.95341218e-03  8.38256721e-03  2.82727393e-03  5.92337607e-03
  3.54203730e-03  5.86344374e-03  2.89132873e-04  2.89132873e-04
  2.89132873e-04  2.89132873e-04  2.89132873e-04  2.89132873e-04
  2.89132873e-04  2.89132873e-04  2.89132873e-04  2.89132873e-04
  2.89132873e-04  2.89132873e-04  2.89132873e-04  2.89132873e-04
  2.89132873e-04  2.89132873e-04]",486737
1086489860,Vip-IRES-Cre,False,familiar,"[-4.32026910e-03 -4.35861904e-03 -4.07548950e-03  3.68384213e-04
  2.02120890e-03 -1.09097671e-03 -8.54824676e-04  2.89164937e-03
  8.66344023e-03  7.78361884e-03  4.88996844e-03  4.13086135e-03
  1.51547029e-03  2.41979374e-04 -1.27367820e-03 -5.16690945e-03
 -2.29427245e-03 -7.34017780e-04 -1.73308686e-03 -3.06393238e-03
 -4.82246564e-03  2.58341447e-03  1.60723481e-03 -4.05978698e-03
 -1.01139351e-03 -1.62176518e-03 -2.21513442e-03  6.96698531e-03
  4.01158713e-04 -1.36875244e-03  5.43013566e-03  7.94450396e-03
  1.88667528e-03  3.98011437e-04  1.74255074e-03  4.07573934e-03
  4.69421889e-03  4.27647014e-03  2.68125625e-03  6.29971709e-04
 -2.17527446e-03  1.45784930e-03  6.60259735e-04  5.07804554e-03
  1.38109858e-03 -2.42362998e-04  5.44070974e-03  1.09281987e-03
  6.02149995e-03  3.76250418e-03  5.90883240e-03  2.34514993e-03
  5.91348713e-03  4.00543338e-03  3.59752096e-03  1.89746789e-03
  1.40937747e-03  1.39777200e-03  3.35935725e-04  2.17709652e-03
  2.07584128e-03 -3.06070360e-03 -3.94539656e-03 -2.63550779e-03
 -7.77098202e-05 -6.32262781e-03 -7.63716149e-03 -1.18900186e-02
 -9.61862698e-03 -2.91290659e-03 -5.14437511e-03 -3.97638591e-03
 -3.07154400e-03 -3.18529222e-03 -1.13541586e-03 -1.13541586e-03
 -1.13541586e-03 -1.13541586e-03 -1.13541586e-03 -1.13541586e-03
 -1.13541586e-03 -1.13541586e-03 -1.13541586e-03 -1.13541586e-03
 -1.13541586e-03 -1.13541586e-03 -1.13541586e-03 -1.13541586e-03
 -1.13541586e-03 -1.13541586e-03]",486737
1086489860,Vip-IRES-Cre,False,novel,"[ 0.00145107  0.00104632 -0.00170955  0.00300182 -0.00176582 -0.00207115
 -0.00471588 -0.00076946  0.00099483 -0.00272941 -0.00592028  0.00164463
  0.0060309   0.00524755  0.00708217  0.00443211  0.00361932  0.0012711
  0.0047321   0.00483678  0.00252878 -0.0007047  -0.0004406  -0.00442423
 -0.00303503 -0.00371697 -0.00347556 -0.00367396 -0.00427172 -0.00449518
 -0.00426998 -0.00297138 -0.00602632  0.00739563  0.01710757  0.02304935
  0.02610577  0.02610008  0.02643797  0.03024134  0.03254264  0.0270578
  0.02413007  0.01982164  0.01567075  0.01057353  0.01546924  0.01153444
  0.01057437  0.01119812  0.00125967  0.00198146  0.00222918  0.0014918
 -0.00028358  0.0024203   0.00696746  0.00959314  0.01410724  0.01842127
  0.0159566   0.0136172   0.01596544  0.01374953  0.01191204  0.00890721
  0.0081466   0.00454926  0.00048544 -0.00050809  0.00013019 -0.00065498
 -0.00410842 -0.00103539 -0.00658574 -0.00658574 -0.00658574 -0.00658574
 -0.00658574 -0.00658574 -0.00658574 -0.00658574 -0.00658574 -0.00658574
 -0.00658574 -0.00658574 -0.00658574 -0.00658574 -0.00658574 -0.00658574]",486737
1086489860,Vip-IRES-Cre,True,familiar,"[ 2.77778459e-03  2.17475396e-03 -2.90068338e-03  1.01580109e-03
  4.72510987e-03  1.77297998e-03  2.25885224e-03  7.15302591e-04
  1.34361165e-03  4.65567648e-03  3.62409344e-03  7.25738066e-05
  5.65541245e-04  1.43844399e-03 -1.74761479e-03  2.50553477e-03
 -6.90739140e-04 -2.12147860e-03 -4.15556608e-03 -6.94843977e-04
  2.58902707e-03 -3.04645770e-03 -3.49629199e-03 -8.69130997e-03
 -7.07929216e-04  4.92894414e-03  1.05125507e-03 -1.10963224e-03
 -6.23374275e-03 -2.61899614e-03 -7.42935787e-04  2.84378098e-03
 -7.29302457e-04 -2.82853833e-03  1.75580366e-03  3.81687117e-03
  7.40921009e-03  4.03269985e-03  2.46294961e-03  1.19707929e-03
  3.83021894e-03  8.12932827e-03  7.41787279e-03  6.97691649e-03
  4.73198448e-03  1.18593824e-02  1.67028055e-02  9.44198393e-03
  1.30264958e-02  1.91299318e-02  1.57802115e-02  1.12292826e-02
  1.43508012e-02  1.89388285e-02  1.57558042e-02  8.23081980e-03
  7.44135642e-03  9.88835258e-03  3.76398253e-03  3.31446219e-03
  9.20832326e-03  1.19838606e-02  9.52563158e-03  7.82449128e-03
  7.60102380e-03  1.16525892e-04  3.06423276e-03  7.11910384e-03
  1.33679274e-02  4.87437766e-03  5.47677776e-03 -1.19322858e-03
  5.04222114e-03  9.48602489e-03  3.46202231e-03  3.46202231e-03
  3.46202231e-03  3.46202231e-03  3.46202231e-03  3.46202231e-03
  3.46202231e-03  3.46202231e-03  3.46202231e-03  3.46202231e-03
  3.46202231e-03  3.46202231e-03  3.46202231e-03  3.46202231e-03
  3.46202231e-03  3.46202231e-03]",486737
1086489860,Vip-IRES-Cre,True,novel,"[ 0.00352889  0.00299265 -0.00190048 -0.00257375 -0.00696466 -0.00711381
 -0.00513986 -0.00710088 -0.00486524 -0.00696902 -0.00672486 -0.00377892
  0.00180335  0.00360588  0.00686477  0.00961571  0.00836104  0.00865385
  0.00735913  0.01009361  0.00246889  0.00249715  0.00466619  0.00184764
 -0.00486143 -0.00275517 -0.00215771 -0.00414003 -0.00108118 -0.00623173
 -0.00628517 -0.00461585 -0.00572843 -0.00864921 -0.00789577 -0.00688589
 -0.00857803 -0.01167841 -0.0159103  -0.0107517  -0.01074462 -0.00736984
 -0.01142828 -0.01333826 -0.0150665  -0.01693058 -0.01370326 -0.01572421
 -0.01654189 -0.00986566 -0.00908138 -0.01102742 -0.00977653 -0.01055319
 -0.0091003  -0.00599321 -0.00094094  0.00322075  0.00949985  0.00880848
  0.00684752  0.00465191 -0.00042121  0.0028553   0.00491487 -0.0025433
 -0.0008491  -0.00308225 -0.00382884 -0.00284896 -0.00188616 -0.0094449
 -0.00763377 -0.00770326 -0.00586498 -0.00586498 -0.00586498 -0.00586498
 -0.00586498 -0.00586498 -0.00586498 -0.00586498 -0.00586498 -0.00586498
 -0.00586498 -0.00586498 -0.00586498 -0.00586498 -0.00586498 -0.00586498]",486737
1086489882,Vip-IRES-Cre,False,novel,"[ 0.00741694  0.00723178  0.0039524  -0.0056699  -0.00664336 -0.01090799
 -0.013907   -0.01472299 -0.01768129 -0.0157211  -0.00792208  0.0006471
  0.00144931 -0.00030618  0.00454255  0.00948882  0.0122458   0.01229686
  0.01568155  0.01554336  0.01027071  0.0143521   0.00565081  0.00425216
  0.00223653  0.00087493 -0.00658196 -0.00712424 -0.01029631 -0.01064929
 -0.01374894 -0.01606212 -0.00673095  0.00740884  0.01842467  0.0247215
  0.02596233  0.0318735   0.03731539  0.03786108  0.03278532  0.03422211
  0.0331302   0.02798602  0.01865837  0.01382292  0.01504994  0.00889181
  0.00901217  0.00330214 -0.00291111 -0.01030326 -0.01540154 -0.01789186
 -0.01012501 -0.00254685  0.00482529  0.00688819  0.01135349  0.01774189
  0.02317933  0.02334185  0.02056341  0.01819411  0.01399262  0.01267983
  0.00913809  0.00202715  0.00218349  0.00425119 -0.00886154 -0.00865198
 -0.01599491 -0.02297381 -0.01675458 -0.01675458 -0.01675458 -0.01675458
 -0.01675458 -0.01675458 -0.01675458 -0.01675458 -0.01675458 -0.01675458
 -0.01675458 -0.01675458 -0.01675458 -0.01675458 -0.01675458 -0.01675458]",486737
1086489882,Vip-IRES-Cre,True,novel,"[ 0.00473818  0.00409309 -0.00248487 -0.00683618 -0.00893946 -0.01246655
 -0.017429   -0.01328467 -0.01536909 -0.02056841 -0.01898595 -0.01195969
 -0.00125421  0.00210197  0.00580447  0.0135152   0.0151991   0.01661166
  0.02057881  0.02257703  0.01550284  0.00736299  0.01108515  0.00577087
  0.00934008 -0.00118041 -0.00278024 -0.00281203 -0.00756608 -0.01036457
 -0.01700511 -0.01677335 -0.01373171 -0.01410357 -0.02044379 -0.02386196
 -0.02612377 -0.02382702 -0.02233044 -0.02634851 -0.0311261  -0.02897262
 -0.03155266 -0.02953378 -0.02722096 -0.03647381 -0.03229207 -0.03179845
 -0.03517288 -0.029418   -0.03187221 -0.02966446 -0.03372252 -0.02931071
 -0.02550852 -0.01585078 -0.00173495  0.0090888   0.01857839  0.02166412
  0.02745526  0.03400754  0.02913392  0.03086339  0.03021077  0.02271288
  0.0151045   0.01685815  0.01500129  0.00592131  0.00389359 -0.00507557
 -0.01196339 -0.01094306 -0.00905906 -0.00905906 -0.00905906 -0.00905906
 -0.00905906 -0.00905906 -0.00905906 -0.00905906 -0.00905906 -0.00905906
 -0.00905906 -0.00905906 -0.00905906 -0.00905906 -0.00905906 -0.00905906]",486737
